sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230605NY019026018A	ok	wadsworth	5.350633715683e-4	no	NA	NA	NA	low_coverage
20230206NY027026255A	ok	nymc	0.970370865799418	yes	ok	58	58	ok
20230725NY055021610A	ok	u_of_rochester	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
20230418NY007027669A	ok	suny_upstate	0.5788048021937598	yes	solver_warning	12	10	ok
20230424NY063026336A	ok	suny_buffalo	0.8031301207236732	yes	solver_warning	30	23	ok
20230523NY055028339A	ok	u_of_rochester	0.8603484600207336	yes	ok	52	47	ok
20230706NY029095401A	ok	suny_buffalo	0.9528140989198408	yes	ok	47	44	ok
20230711NY089236586A	ok	suny_upstate	0.4814232685683712	no	NA	NA	NA	low_coverage
20230719NY029028436A	ok	suny_buffalo	0.9361936929405076	yes	ok	23	20	ok
20230215NY045025151A	ok	wadsworth	0	no	NA	NA	NA	low_coverage
20230806NY067027596A	ok	suny_upstate	0.9505735210513996	yes	ok	52	52	ok
20230704NY037026514A	ok	u_of_rochester	0.0110022405778681	no	NA	NA	NA	low_coverage
20230726NY031036706A	ok	suny_upstate	0.1430291275122896	no	NA	NA	NA	low_coverage
20230815NY065021385A	ok	wadsworth	0	no	NA	NA	NA	low_coverage
20230425NY101021431A	ok	u_of_rochester	0.9428819850851085	yes	solver_warning	16	12	ok
20230201NY071026522A	ok	wadsworth	0.937531351369428	yes	ok	62	59	ok
20230723NY067027618A	ok	suny_upstate	0.9601043373574558	yes	ok	42	42	ok
20230301NY027026255A	ok	nymc	0.8065745911781426	yes	solver_warning	15	13	ok
20230126NY101021431A	ok	u_of_rochester	0.9346553857472496	yes	ok	78	78	ok
20230315NY123029726A	ok	u_of_rochester	0.9027522322175032	yes	ok	13	11	ok
20230615NY051032328A	ok	u_of_rochester	0.4005952580008693	no	NA	NA	NA	low_coverage
20230509NY053028525A	ok	wadsworth	0.2882988328930207	no	NA	NA	NA	low_coverage
20230228NY051030635A	ok	u_of_rochester	0.9782630505300473	yes	ok	78	76	ok
20230822NY087022748A	ok	nymc	0.0152827475504129	no	NA	NA	NA	low_coverage
20230828NY065030864A	ok	wadsworth	0.9133531752666956	yes	ok	35	34	ok
20230705NY055021610A	ok	u_of_rochester	0.961742968932883	yes	ok	53	50	ok
20230126NY099033308A	ok	u_of_rochester	0.9677624318630238	yes	ok	62	61	ok
20230713NY065025780B	ok	wadsworth	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
20230205NY055028339A	ok	u_of_rochester	0.0011035682038591	no	NA	NA	NA	low_coverage
20230613NY031022187A	ok	suny_upstate	0.9122161656021136	yes	ok	22	22	ok
20230221NY029026395B	ok	suny_buffalo	0.9718757315319532	yes	ok	95	95	ok
20230418NY045025984B	ok	suny_upstate	0.8965321205230246	yes	solver_warning	25	22	ok
20230612NY103104809A	ok	wadsworth	0.4740661472093102	no	NA	NA	NA	low_coverage
20230501NY113029050A	ok	wadsworth	0.0110356820385916	no	NA	NA	NA	low_coverage
20230801NY103079324A	ok	wadsworth	0.91245025582717465	yes	solver_warning	27	27	ok
